,pipeline,aggregation,batchLen,memory,timePerBatch,costPerBatch,BatcherCost,CollectorCost,noOfBatch,timeTotal,AllBatchCost,costTotal
0,step-agg-csmbrw-120Sec-batch,csmbrw,120,512,784.4045455555555,0.006589002000000001,,,5.0,3922.0227277777776,0.032945010000000004,
1,step-agg-csmbrw-120Sec-batch,csmbrw,120,1024,386.52243444444446,0.006493586400000001,0.00028687680000000004,0.0027983592000000003,5.0,1932.6121722222224,0.032467932000000005,0.03555316800000001
2,step-agg-csmbrw-120Sec-batch,csmbrw,120,2048,189.28076111111108,0.006359841600000001,0.0003604944,0.0027351072,5.0,946.4038055555554,0.031799208,0.03489480960000001
3,step-agg-csmbrw-120Sec-batch,csmbrw,120,4096,104.93792166666668,0.007051833600000001,0.0008372448000000001,0.0030494688000000003,5.0,524.6896083333334,0.035259168,0.0391458816
4,step-agg-csmbrw-120Sec-batch,csmbrw,120,8192,80.49819388888889,0.0108190656,0.0015855168000000002,0.0046523904,5.0,402.49096944444443,0.054095328,0.060333235199999995
5,step-agg-csmbrw-120Sec-batch,csmbrw,120,least_cost,189.28076111111108,0.006359841600000001,0.00028687680000000004,0.0027351072,5.0,946.4038055555554,0.031799208,0.03482119200000001
6,step-agg-csmbrw-120Sec-batch,csmbrw,120,least_time,80.49819388888889,0.0108190656,,,5.0,402.49096944444443,0.054095328,
7,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,512,792.1828338888888,0.006654354000000001,,,5.0,3960.9141694444443,0.033271770000000006,
8,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,1024,390.9700372222223,0.0065683464,0.00028687680000000004,0.0027983592000000003,5.0,1954.8501861111115,0.032841732,0.035926968000000004
9,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,2048,193.14484,0.006489772800000001,0.0003604944,0.0027351072,5.0,965.7241999999999,0.032448864,0.035544465600000005
10,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,4096,109.81464166666666,0.007379769600000001,0.0008372448000000001,0.0030494688000000003,5.0,549.0732083333332,0.036898848000000005,0.040785561600000006
11,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,8192,84.67269833333333,0.01138032,0.0015855168000000002,0.0046523904,5.0,423.3634916666666,0.0569016,0.0631395072
12,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,least_cost,193.14484,0.006489772800000001,0.00028687680000000004,0.0027351072,5.0,965.7241999999999,0.032448864,0.035470848000000006
13,step-agg-c-s-m-b-r-w-120Sec-batch,c-s-m-b-r-w,120,least_time,84.67269833333333,0.01138032,,,5.0,423.3634916666666,0.0569016,
14,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,512,788.7442316666666,0.006625458000000001,,,5.0,3943.721158333333,0.033127290000000004,
15,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,1024,386.8897111111112,0.006499768800000001,0.00028687680000000004,0.0027983592000000003,5.0,1934.448555555556,0.032498844000000006,0.03558408000000001
16,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,2048,190.64885777777778,0.0064058736000000005,0.0003604944,0.0027351072,5.0,953.2442888888888,0.032029368,0.03512496960000001
17,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,4096,105.79465722222224,0.0071094912,0.0008372448000000001,0.0030494688000000003,5.0,528.9732861111112,0.035547456,0.0394341696
18,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,8192,80.47531777777778,0.010816108800000002,0.0015855168000000002,0.0046523904,5.0,402.3765888888889,0.05408054400000001,0.060318451200000005
19,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,least_cost,190.64885777777778,0.0064058736000000005,0.00028687680000000004,0.0027351072,5.0,953.2442888888888,0.032029368,0.03505135200000001
20,step-agg-c-s-mbrw-120Sec-batch,c-s-mbrw,120,least_time,80.47531777777778,0.010816108800000002,,,5.0,402.3765888888889,0.05408054400000001,
21,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,512,788.949975,0.0066271884,,,5.0,3944.749875,0.033135942,
22,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,1024,386.39952388888895,0.006491536800000001,0.00028687680000000004,0.0027983592000000003,5.0,1931.9976194444448,0.03245768400000001,0.03554292000000001
23,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,2048,192.1362661111111,0.0064558368,0.0003604944,0.0027351072,5.0,960.6813305555555,0.032279184,0.03537478560000001
24,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,4096,108.4318288888889,0.007286832,0.0008372448000000001,0.0030494688000000003,5.0,542.1591444444446,0.03643416,0.0403208736
25,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,8192,82.90617777777777,0.0111428352,0.0015855168000000002,0.0046523904,5.0,414.53088888888885,0.055714176,0.061952083199999994
26,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,least_cost,192.1362661111111,0.0064558368,0.00028687680000000004,0.0027351072,5.0,960.6813305555555,0.032279184,0.03530116800000001
27,step-agg-c-s-mb-rw-120Sec-batch,c-s-mb-rw,120,least_time,82.90617777777777,0.0111428352,,,5.0,414.53088888888885,0.055714176,
28,step-agg-c-smbrw-120Sec-batch,c-smbrw,120,512,657.6819644444445,0.0055245372000000004,,,5.0,3288.4098222222224,0.027622686,
