@timestamp,@maxMemoryUsed,@memorySize
2022-11-30 00:01:18.232,5.62E8,1.024E9
2022-11-30 00:01:13.780,5.62E8,1.024E9
2022-11-30 00:01:10.640,5.62E8,1.024E9
2022-11-30 00:01:05.483,5.62E8,1.024E9
2022-11-30 00:01:01.430,5.62E8,1.024E9
2022-11-29 23:55:46.013,5.62E8,2.048E9
2022-11-29 23:55:44.160,5.62E8,2.048E9
2022-11-29 23:55:42.928,5.62E8,2.048E9
2022-11-29 23:55:37.466,5.62E8,2.048E9
2022-11-29 23:55:37.325,5.62E8,2.048E9
2022-11-29 23:53:06.606,5.62E8,4.096E9
2022-11-29 23:53:02.204,5.62E8,4.096E9
2022-11-29 23:53:01.951,5.62E8,4.096E9
2022-11-29 23:53:00.076,5.63E8,4.096E9
2022-11-29 23:52:58.035,5.63E8,4.096E9
2022-11-29 23:52:02.375,5.63E8,8.192E9
2022-11-29 23:52:01.841,5.63E8,8.192E9
2022-11-29 23:52:00.653,5.63E8,8.192E9
2022-11-29 23:52:00.044,5.63E8,8.192E9
2022-11-29 23:51:58.681,5.63E8,8.192E9
