@timestamp,@maxMemoryUsed,@memorySize
2022-11-30 00:00:19.298,2.77E8,1.024E9
2022-11-30 00:00:07.832,2.77E8,1.024E9
2022-11-29 23:59:59.072,2.76E8,1.024E9
2022-11-29 23:59:58.640,2.77E8,1.024E9
2022-11-29 23:59:45.635,2.76E8,1.024E9
2022-11-29 23:55:18.800,2.76E8,2.048E9
2022-11-29 23:55:11.588,2.77E8,2.048E9
2022-11-29 23:55:09.731,2.77E8,2.048E9
2022-11-29 23:55:03.201,2.76E8,2.048E9
2022-11-29 23:54:59.787,2.77E8,2.048E9
2022-11-29 23:52:56.016,2.8E8,4.096E9
2022-11-29 23:52:52.876,2.8E8,4.096E9
2022-11-29 23:52:49.901,2.8E8,4.096E9
2022-11-29 23:52:46.129,2.81E8,4.096E9
2022-11-29 23:52:44.593,2.79E8,4.096E9
2022-11-29 23:52:21.199,2.86E8,8.192E9
2022-11-29 23:52:18.171,2.86E8,8.192E9
2022-11-29 23:52:15.604,2.86E8,8.192E9
2022-11-29 23:52:11.649,2.85E8,8.192E9
2022-11-29 23:52:10.903,2.85E8,8.192E9
