@timestamp,@maxMemoryUsed,@memorySize
2022-11-29 23:55:23.647,2.37E8,1.024E9
2022-11-29 23:55:19.915,2.37E8,1.024E9
2022-11-29 23:55:15.090,2.37E8,1.024E9
2022-11-29 23:55:14.931,2.37E8,1.024E9
2022-11-29 23:55:13.884,2.37E8,1.024E9
2022-11-29 23:52:48.493,2.37E8,2.048E9
2022-11-29 23:52:46.730,2.37E8,2.048E9
2022-11-29 23:52:45.709,2.37E8,2.048E9
2022-11-29 23:52:43.269,2.37E8,2.048E9
2022-11-29 23:52:41.455,2.37E8,2.048E9
2022-11-29 23:51:51.305,2.41E8,4.096E9
2022-11-29 23:51:50.974,2.42E8,4.096E9
2022-11-29 23:51:49.814,2.41E8,4.096E9
2022-11-29 23:51:47.913,2.41E8,4.096E9
2022-11-29 23:51:47.272,2.48E8,8.192E9
2022-11-29 23:51:47.090,2.42E8,4.096E9
2022-11-29 23:51:44.057,2.48E8,8.192E9
2022-11-29 23:51:43.930,2.49E8,8.192E9
2022-11-29 23:51:42.493,2.48E8,8.192E9
2022-11-29 23:51:42.266,2.48E8,8.192E9
