CMDLINE python3 app.py
MEM 117.535156 1670554667.1255
MEM 117.535156 1670554667.2259
MEM 117.535156 1670554667.3278
MEM 117.535156 1670554667.4281
MEM 117.535156 1670554667.5284
MEM 117.535156 1670554667.6287
MEM 117.535156 1670554667.7290
MEM 117.535156 1670554667.8294
MEM 117.535156 1670554667.9297
MEM 117.535156 1670554668.0314
MEM 117.535156 1670554668.1338
MEM 117.535156 1670554668.2341
MEM 117.535156 1670554668.3345
MEM 117.535156 1670554668.4348
MEM 117.535156 1670554668.5355
MEM 117.535156 1670554668.6381
MEM 117.535156 1670554668.7385
MEM 117.535156 1670554668.8388
MEM 117.535156 1670554668.9391
MEM 117.535156 1670554669.0394
MEM 117.535156 1670554669.1397
MEM 117.535156 1670554669.2400
MEM 117.535156 1670554669.3403
MEM 117.535156 1670554669.4407
MEM 117.535156 1670554669.5410
MEM 117.535156 1670554669.6413
MEM 117.535156 1670554669.7416
MEM 117.535156 1670554669.8420
MEM 117.535156 1670554669.9423
MEM 117.535156 1670554670.0434
MEM 117.535156 1670554670.1438
MEM 117.535156 1670554670.2452
MEM 117.535156 1670554670.3469
MEM 117.535156 1670554670.4473
MEM 117.535156 1670554670.5476
MEM 117.535156 1670554670.6482
MEM 117.535156 1670554670.7485
MEM 117.535156 1670554670.8488
MEM 117.535156 1670554670.9491
MEM 117.535156 1670554671.0495
MEM 117.535156 1670554671.1498
MEM 117.535156 1670554671.2501
MEM 117.535156 1670554671.3505
MEM 117.535156 1670554671.4508
MEM 117.535156 1670554671.5512
MEM 117.535156 1670554671.6520
MEM 117.535156 1670554671.7523
MEM 117.535156 1670554671.8526
MEM 117.535156 1670554671.9567
MEM 117.535156 1670554672.0570
MEM 117.535156 1670554672.1574
MEM 117.535156 1670554672.2577
MEM 117.535156 1670554672.3580
MEM 117.535156 1670554672.4584
MEM 117.535156 1670554672.5587
MEM 117.535156 1670554672.6590
MEM 117.535156 1670554672.7594
MEM 117.535156 1670554672.8597
MEM 117.535156 1670554672.9600
MEM 117.535156 1670554673.0603
MEM 117.535156 1670554673.1608
MEM 117.535156 1670554673.2611
MEM 117.535156 1670554673.3615
MEM 117.535156 1670554673.4635
MEM 117.535156 1670554673.5639
MEM 117.535156 1670554673.6659
MEM 117.535156 1670554673.7686
MEM 117.535156 1670554673.8726
MEM 117.535156 1670554673.9729
MEM 117.535156 1670554674.0754
MEM 117.535156 1670554674.1757
MEM 117.535156 1670554674.2761
MEM 117.535156 1670554674.3764
MEM 117.535156 1670554674.4772
MEM 117.535156 1670554674.5775
MEM 117.535156 1670554674.6779
MEM 117.535156 1670554674.7782
MEM 117.535156 1670554674.8785
MEM 117.535156 1670554674.9789
MEM 117.535156 1670554675.0809
MEM 117.535156 1670554675.1812
MEM 117.535156 1670554675.2816
MEM 117.535156 1670554675.3820
MEM 117.535156 1670554675.4826
MEM 117.535156 1670554675.5836
MEM 117.535156 1670554675.6839
MEM 117.535156 1670554675.7843
MEM 117.535156 1670554675.8847
MEM 117.535156 1670554675.9850
MEM 117.535156 1670554676.0859
MEM 117.535156 1670554676.1862
MEM 117.535156 1670554676.2866
MEM 117.535156 1670554676.3869
MEM 117.535156 1670554676.4915
MEM 117.535156 1670554676.5920
MEM 117.535156 1670554676.6924
MEM 117.535156 1670554676.7927
MEM 117.535156 1670554676.8930
MEM 117.535156 1670554676.9933
MEM 117.535156 1670554677.0955
MEM 117.535156 1670554677.1958
MEM 117.535156 1670554677.2986
MEM 117.535156 1670554677.3989
MEM 117.535156 1670554677.5028
MEM 117.535156 1670554677.6032
MEM 117.535156 1670554677.7050
MEM 117.535156 1670554677.8053
MEM 117.535156 1670554677.9060
MEM 117.535156 1670554678.0063
MEM 117.535156 1670554678.1066
MEM 117.535156 1670554678.2070
MEM 117.535156 1670554678.3074
MEM 117.535156 1670554678.4077
MEM 117.535156 1670554678.5080
MEM 117.535156 1670554678.6084
MEM 117.535156 1670554678.7087
MEM 117.535156 1670554678.8091
MEM 117.535156 1670554678.9094
MEM 117.535156 1670554679.0099
MEM 117.535156 1670554679.1102
MEM 117.535156 1670554679.2105
MEM 117.535156 1670554679.3120
MEM 117.535156 1670554679.4123
MEM 117.535156 1670554679.5127
MEM 117.535156 1670554679.6130
MEM 117.535156 1670554679.7133
MEM 117.535156 1670554679.8138
MEM 117.535156 1670554679.9148
MEM 117.535156 1670554680.0156
MEM 117.535156 1670554680.1198
MEM 117.535156 1670554680.2201
MEM 117.535156 1670554680.3204
MEM 117.535156 1670554680.4208
MEM 117.535156 1670554680.5211
MEM 117.535156 1670554680.6216
MEM 117.535156 1670554680.7220
MEM 117.535156 1670554680.8223
MEM 117.535156 1670554680.9226
MEM 117.535156 1670554681.0230
MEM 117.535156 1670554681.1233
MEM 117.535156 1670554681.2237
MEM 117.535156 1670554681.3240
MEM 117.535156 1670554681.4244
MEM 117.535156 1670554681.5248
MEM 117.535156 1670554681.6251
MEM 117.535156 1670554681.7255
MEM 117.535156 1670554681.8258
MEM 117.535156 1670554681.9261
MEM 117.535156 1670554682.0264
MEM 117.535156 1670554682.1268
MEM 117.535156 1670554682.2271
MEM 117.535156 1670554682.3274
MEM 117.535156 1670554682.4278
MEM 117.535156 1670554682.5281
MEM 117.535156 1670554682.6284
MEM 117.535156 1670554682.7287
MEM 117.535156 1670554682.8290
MEM 117.535156 1670554682.9327
MEM 117.535156 1670554683.0363
MEM 117.535156 1670554683.1367
MEM 117.535156 1670554683.2382
MEM 117.535156 1670554683.3422
MEM 117.535156 1670554683.4432
MEM 117.535156 1670554683.5435
MEM 117.535156 1670554683.6450
MEM 117.535156 1670554683.7453
MEM 117.535156 1670554683.8456
MEM 117.535156 1670554683.9462
MEM 117.535156 1670554684.0465
MEM 117.535156 1670554684.1502
MEM 117.535156 1670554684.2505
MEM 117.535156 1670554684.3513
MEM 117.535156 1670554684.4516
MEM 117.535156 1670554684.5519
MEM 117.535156 1670554684.6522
MEM 117.535156 1670554684.7525
MEM 117.535156 1670554684.8531
MEM 117.535156 1670554684.9534
MEM 117.535156 1670554685.0537
MEM 117.535156 1670554685.1541
MEM 117.535156 1670554685.2545
MEM 117.535156 1670554685.3577
MEM 117.535156 1670554685.4580
MEM 117.535156 1670554685.5583
MEM 117.535156 1670554685.6593
MEM 117.535156 1670554685.7597
MEM 117.535156 1670554685.8600
MEM 117.535156 1670554685.9603
MEM 117.535156 1670554686.0606
MEM 117.535156 1670554686.1642
MEM 117.535156 1670554686.2646
MEM 117.535156 1670554686.3649
MEM 117.535156 1670554686.4652
MEM 117.535156 1670554686.5655
MEM 117.535156 1670554686.6658
MEM 117.535156 1670554686.7662
MEM 117.535156 1670554686.8699
MEM 117.535156 1670554686.9702
MEM 117.535156 1670554687.0705
MEM 117.535156 1670554687.1709
MEM 117.535156 1670554687.2712
MEM 117.535156 1670554687.3714
MEM 117.535156 1670554687.4717
MEM 117.535156 1670554687.5721
MEM 117.535156 1670554687.6724
MEM 117.535156 1670554687.7728
MEM 117.535156 1670554687.8731
MEM 117.535156 1670554687.9735
MEM 117.535156 1670554688.0738
MEM 117.535156 1670554688.1741
MEM 117.535156 1670554688.2745
MEM 117.535156 1670554688.3748
MEM 117.535156 1670554688.4751
MEM 117.535156 1670554688.5754
MEM 117.535156 1670554688.6757
MEM 117.535156 1670554688.7761
MEM 117.535156 1670554688.8764
MEM 117.535156 1670554688.9767
MEM 117.535156 1670554689.0771
MEM 117.535156 1670554689.1775
MEM 117.535156 1670554689.2800
MEM 117.535156 1670554689.3803
MEM 117.535156 1670554689.4806
MEM 117.535156 1670554689.5809
MEM 117.535156 1670554689.6813
MEM 117.535156 1670554689.7818
MEM 117.535156 1670554689.8821
MEM 117.535156 1670554689.9824
MEM 117.535156 1670554690.0828
MEM 117.535156 1670554690.1831
MEM 117.535156 1670554690.2834
MEM 117.535156 1670554690.3837
MEM 117.535156 1670554690.4840
MEM 117.535156 1670554690.5869
MEM 117.535156 1670554690.6873
MEM 117.535156 1670554690.7876
MEM 117.535156 1670554690.8880
MEM 117.535156 1670554690.9896
MEM 117.535156 1670554691.0903
MEM 117.535156 1670554691.1906
MEM 117.535156 1670554691.2909
MEM 117.535156 1670554691.3913
MEM 117.535156 1670554691.4918
MEM 117.535156 1670554691.5921
MEM 117.535156 1670554691.6924
MEM 117.535156 1670554691.7927
MEM 117.535156 1670554691.8931
MEM 117.535156 1670554691.9934
MEM 117.535156 1670554692.0937
MEM 117.535156 1670554692.1940
MEM 117.535156 1670554692.2953
MEM 117.535156 1670554692.3957
MEM 117.535156 1670554692.4960
MEM 117.535156 1670554692.5986
MEM 117.535156 1670554692.7019
MEM 117.535156 1670554692.8022
MEM 117.535156 1670554692.9027
MEM 117.535156 1670554693.0030
MEM 117.535156 1670554693.1033
MEM 117.535156 1670554693.2036
MEM 117.535156 1670554693.3039
MEM 117.535156 1670554693.4042
MEM 117.535156 1670554693.5046
MEM 117.535156 1670554693.6062
MEM 117.535156 1670554693.7065
MEM 117.535156 1670554693.8074
MEM 117.535156 1670554693.9103
MEM 117.535156 1670554694.0107
MEM 117.535156 1670554694.1110
MEM 117.535156 1670554694.2115
MEM 117.535156 1670554694.3119
MEM 117.535156 1670554694.4122
MEM 117.535156 1670554694.5126
MEM 117.535156 1670554694.6129
MEM 117.535156 1670554694.7132
MEM 117.535156 1670554694.8135
MEM 117.535156 1670554694.9139
MEM 117.535156 1670554695.0142
MEM 117.535156 1670554695.1145
MEM 117.535156 1670554695.2148
MEM 117.535156 1670554695.3154
MEM 117.535156 1670554695.4157
MEM 117.535156 1670554695.5184
MEM 117.535156 1670554695.6187
MEM 117.535156 1670554695.7190
MEM 117.535156 1670554695.8194
MEM 117.535156 1670554695.9199
MEM 117.535156 1670554696.0235
MEM 117.535156 1670554696.1238
MEM 117.535156 1670554696.2241
MEM 117.535156 1670554696.3244
MEM 117.535156 1670554696.4254
MEM 117.535156 1670554696.5292
MEM 117.535156 1670554696.6295
MEM 117.535156 1670554696.7298
MEM 117.535156 1670554696.8301
MEM 117.535156 1670554696.9304
MEM 117.535156 1670554697.0308
MEM 117.535156 1670554697.1312
MEM 117.535156 1670554697.2315
MEM 117.535156 1670554697.3318
MEM 117.535156 1670554697.4323
MEM 117.535156 1670554697.5326
MEM 117.535156 1670554697.6329
MEM 117.535156 1670554697.7332
MEM 117.535156 1670554697.8335
MEM 117.535156 1670554697.9339
MEM 117.535156 1670554698.0343
MEM 117.535156 1670554698.1346
MEM 117.535156 1670554698.2349
MEM 117.535156 1670554698.3353
MEM 117.535156 1670554698.4356
MEM 117.535156 1670554698.5359
MEM 117.535156 1670554698.6370
MEM 117.535156 1670554698.7373
MEM 117.535156 1670554698.8376
MEM 117.535156 1670554698.9380
MEM 117.535156 1670554699.0383
MEM 117.535156 1670554699.1394
MEM 117.535156 1670554699.2399
MEM 117.535156 1670554699.3403
MEM 117.535156 1670554699.4406
MEM 117.535156 1670554699.5410
MEM 117.535156 1670554699.6413
MEM 117.535156 1670554699.7435
MEM 117.535156 1670554699.8438
MEM 117.535156 1670554699.9441
MEM 117.535156 1670554700.0445
MEM 117.535156 1670554700.1483
MEM 117.535156 1670554700.2501
MEM 117.535156 1670554700.3504
MEM 117.535156 1670554700.4515
MEM 117.535156 1670554700.5519
MEM 117.535156 1670554700.6522
MEM 117.535156 1670554700.7525
MEM 117.535156 1670554700.8538
MEM 117.535156 1670554700.9554
MEM 117.535156 1670554701.0560
MEM 117.535156 1670554701.1563
MEM 117.535156 1670554701.2566
MEM 117.535156 1670554701.3569
MEM 117.535156 1670554701.4573
MEM 117.535156 1670554701.5577
MEM 117.535156 1670554701.6580
MEM 117.535156 1670554701.7583
MEM 117.535156 1670554701.8586
MEM 117.535156 1670554701.9604
MEM 117.535156 1670554702.0607
MEM 117.535156 1670554702.1610
MEM 117.535156 1670554702.2633
MEM 117.535156 1670554702.3649
MEM 117.535156 1670554702.4653
