@timestamp,@maxMemoryUsed,@memorySize
2022-11-29 00:54:24.858,6.13E8,2.048E9
2022-11-29 00:53:57.678,5.92E8,2.048E9
2022-11-29 00:53:50.487,6.13E8,2.048E9
2022-11-29 00:53:36.524,6.14E8,2.048E9
2022-11-29 00:53:34.488,6.11E8,2.048E9
2022-11-29 00:47:21.888,6.22E8,4.096E9
2022-11-29 00:47:17.058,6.29E8,4.096E9
2022-11-29 00:47:16.290,6.28E8,4.096E9
2022-11-29 00:47:09.071,6.27E8,4.096E9
2022-11-29 00:47:08.524,6.29E8,4.096E9
2022-11-29 00:45:33.067,6.65E8,8.192E9
2022-11-29 00:44:49.268,6.64E8,8.192E9
2022-11-29 00:44:48.209,6.68E8,8.192E9
2022-11-29 00:44:42.915,6.62E8,8.192E9
2022-11-29 00:44:39.111,6.66E8,8.192E9
